Description,Discount_Price,Price,Metal,Metal Color,Stones,Snake Dimension,Top Width,Flower Dimension,Top width,Width,Gemstones,Top Length,Top Diameter,Size,GAL Certified. Top Width,Panther Head Size,Setting Width,Center Stone,Top Widht,Length,Band Width,Flower Diameter,Band Thickness,Starfish Size,Snake Length, Height, Stone included,Dragon Length,Bow Length, Gemstones,Heart Size,Length Across Butterflies,Diameter,Information,Top Length Appx,Height , Contains,Jewelry_Type,Sex
"Effy Aurora 14K Yellow Gold Opal and Diamond Ring, 1.33 TCW",1326.5,1895.0,14K Gold,Yellow,"Cushion Opal 1.2, Round Diamond 0.13",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Wrapped Leaf Ring, 0.62 TCW",1825.0,3650.0,14K Gold,White,Round Diamond 0.62,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Black, Cognac and White Diamond Ring, 1.47 TCW",3706.5,5295.0,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Cognac Diamond ",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Aurora 14K Two Tone Gold Opal and Diamond Ring, 1.49 TCW",1470.0,2100.0,14K Gold,Yellow and White,"Oval Opal 1.4, Round Diamond 0.09",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Flower Ring, 1.61 TCW",,,14K Gold,Yellow,Round Diamond 1.61,,,"1"" x 3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Rose Gold Multi Sapphire and Diamond Ring, 7.44 TCW",4585.0,6550.0,14K Gold,Rose,"Multi Shape Multi Sapphire 7.2, Round Diamond 0.24",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Accented Ring, 0.27 TCW",2240.0,3200.0,14K Gold,Yellow,"Round Diamond 0.27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi-Sapphire Band Ring, 2.06 TCW",976.5,1395.0,14K Gold,Yellow,"Emerald Cut Multi Sapphire 2.06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale 14K Gold Trillion Tanzanite & Diamond Ring, 2.54 TCW",5526.5,7895.0,14K Gold,White,"Trillion Tanzanite 2, Round Diamond 0.54",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale 14K Yellow Gold Tanzanite and Diamond Ring, 2.26 TCW",2695.0,3850.0,14K Gold,Yellow,"Multi Shape Tanzanite 2.0, Round Diamond 0.25",,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Classique 14K White Gold Diamond Wrap Ring, 0.52 TCW",2625.0,3750.0,14K Gold,White,"Multi Shape Diamond 0.52,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Ring, 6.23 TCW",2796.5,3995.0,14K Gold,Yellow,"Oval Multi Sapphire 6.04, Round Diamond 0.19",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Ring, 2.15 TCW",2446.5,3495.0,14K Gold,Yellow,"Marquise Multi Sapphire 1.74, Round Diamond 0.41,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K White Gold Multi Sapphire and Diamond Ring, 2.63 TCW",3356.5,4795.0,14K Gold,White,"Square Multi Sapphire 2.32, Round Diamond 0.41,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K Yellow Gold Sapphire and Diamond Ring, 13.97 TCW",8147.5,16295.0,14K Gold,Yellow,"Round Blue Sapphire 13.11, Round Diamond 0.86",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 4.24 TCW",2446.5,3495.0,14K Gold,White,"Cushion Aquamarine 4, Round Diamond 0.24",,,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Gemma 14K Yellow Gold Green Amethyst and Diamond Ring, 6.74 TCW",1326.5,1895.0,14K Gold,Yellow,"Marquise Green Amethyst 6.6, Round Diamond 0.14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver Blue Sapphire Splash Starfish Ring, 3.07 TCW",486.5,695.0,Sterling Silver,N/A,Round Blue Sapphire 3.07,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royal Bleu 14K White Gold Sapphire and Diamond Bow Ring, 1.88 TCW",2656.5,3795.0,14K Gold,White,"Baguette Blue Sapphire 1.53, Round Diamond 0.35,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Seaside Sterling Silver 18K Gold Multi Gemstone Starfish Ring, 2.14 TCW",577.5,825.0,Sterling Silver,N/A,Multi Shape Multi Color 2.14,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.35 TCW",2656.5,3795.0,14K Gold,Yellow,Round Diamond 0.35,,,,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Wide Band Ring, 2.10 TCW",4896.5,6995.0,14K Gold,White,Round Diamond 2.1,,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Safari 14K White Gold Diamond & Emerald Snake Ring, 1.06 TCW",3496.5,4995.0,14K Gold,White,"Round Black Diamond 0.84, Round Diamond 0.2, Round Emerald 0.02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Textured Gold Diamond Ring, 0.24 TCW",2096.5,2995.0,14K Gold,Yellow,"Round Diamond 0.24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Starfish Ring, 1.25 TCW",1995.0,2850.0,14K Gold,White,"Round Multi Sapphire 0.83, Round Diamond 0.42",,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Tanzanite and Diamond Double Loop Ring, 4.31 TCW",6856.5,9795.0,14K Gold,White,"Round Tanzanite 3.8, Round Diamond 0.51,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14 Karat White Gold Ruby and Diamond Ring, 4.32 TCW",4196.5,5995.0,14K Gold,White,"Baguette Ruby 4.04, Round Diamond 0.28",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Classique 14K White Gold Diamond Bow Ring, 1.16 TCW",4196.5,5995.0,14K Gold,White,Multi Shape Diamond 1.16,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 18K White Gold Tanzanite and Diamond Cocktail Ring, 23.36 TCW",56350.0,80500.0,18K Gold,White,"Cushion Tanzanite 21.16, Round Diamond 2.2",,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K White Gold  Multi Sapphire and Diamond Ring, 3.75 TCW",2520.0,3600.0,14K Gold,White,"Round Diamond 0.24, Multi Shape Sapphire 3.51,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Band Ring, 0.84 TCW",2656.5,3795.0,14K Gold,White,"Round Diamond 0.84,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Ring, 1.39 TCW",1746.5,2495.0,14K Gold,White,"Oval Blue Sapphire 0.95, Round Diamond 0.44,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Nature 14K Rose Gold Ruby and Diamond Flower Ring, 2.24 TCW",4126.5,5895.0,14K Gold,Rose,"Round Ruby 1.89, Round Diamond 0.35,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 2.05 TCW",3045.0,4350.0,14K Gold,Yellow,"Square Multi Sapphire 1.42, Round Diamond 0.63,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Prong Set Diamond Band, 0.49 TCW",766.5,1095.0,14K Gold,White,"Round Diamond 0.49,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K White Gold Blue Sapphire and Diamond Ring, 0.96 TCW",1575.0,2250.0,14K Gold,White,"Round Blue Sapphire 0.61, Round Diamond 0.35,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K White Gold Channel Set Sapphire Ring, 0.84 TCW",945.0,1350.0,14K Gold,White,"Round Blue Sapphire 0.84,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale 14K Yellow Gold Tanzanite and Diamond Ring, 0.96 TCW",1536.5,2195.0,14K Gold,Yellow,"Trillion Tanzanite 0.76, Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Black and White Diamond Band Ring, 1.06 TCW",2306.5,3295.0,14K Gold,White,"Multi Shape Diamond 1.06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Classique 14K White Gold Diamond Ring, 0.98 TCW",2796.5,3995.0,14K Gold,White,"Baguette Diamond 0.4, Round Diamond 0.58,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Band Ring, 0.31 TCW",945.0,1350.0,14K Gold,White,"Round Diamond 0.31,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Espresso 14K Rose Gold Cognac Diamond Stack Ring, 0.65 TCW",1256.5,1795.0,14K Gold,Rose,"Round Cognac Diamond 0.65,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Diamond Band, 0.58 TCW",1395.0,,14K Gold,White,"Round Diamond 0.58,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Espresso and White Diamond Ring, 2.05 TCW",3647.5,7295.0,14K Gold,Rose,Round Diamond 2.05,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Espresso and White Diamond Ring, 0.45 TCW",1676.5,2395.0,14K Gold,Rose,Round Diamond 0.45,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Classique 14K White Gold Diamond Wide Band Ring, 2.47 TCW",8396.5,11995.0,14K Gold,White,Multi Shape Diamond 2.47,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Signature 14K Yellow Gold Diamond and Emerald Panther Ring, 1.8 TCW",4196.5,5995.0,14K Gold,Yellow,"Round Black Diamond 1.58, Round Diamond 0.14, Round Emerald 0.08",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Canare 18K Two Tone Gold Yellow and White Diamond Ring, 0.78 TCW",5316.5,7595.0,18K Gold,Yellow and White,"Cushion Yellow Diamond 0.4, Round Diamond 0.38,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Canare 18K Two Tone Gold Yellow and White Diamond Ring, 0.36 TCW",2485.0,3550.0,18K Gold,Yellow and White,"Pear Yellow Diamond 0.23, Round Diamond 0.13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Kidz 14K White Gold Diamond Infinity Ring, 0.13 TCW",696.5,995.0,14K Gold,White,"Round Diamond 0.13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold Diamond Three Stone Ring, 0.39 TCW",1645.0,2350.0,14K Gold,White,"Multi Shape Diamond 0.39,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold Diamond Three Stone Ring, 0.73 TCW",2675.0,5350.0,14K Gold,White,"Round Diamond 0.73,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold Diamond Solitaire Ring, 0.20 TCW",850.0,,14K Gold,White,Round Diamond 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold Channel Set Diamond Band, 0.98 TCW",1886.5,2695.0,14K Gold,White,"Round Diamond 0.98,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold Channel Set Diamond Band, 0.49 TCW",945.0,1350.0,14K Gold,White,"Round Diamond 0.49,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold Channel Set Diamond Band, 0.24 TCW",626.5,895.0,14K Gold,White,"Round Diamond 0.24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bouquet 14K Yellow Gold Diamond Cluster Ring, 0.56 TCW",1715.0,2450.0,14K Gold,Yellow,"Round Diamond 0.56,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 18K Rose Gold Espresso and White Diamond Ring, 1.41 TCW",6747.5,13495.0,18K Gold,Rose,Round Diamond 1.41,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Signature 14K Gold Black Diamond & Tsavorite Panther Ring, 1.75 TCW",2446.5,3495.0,14K Gold,Rose,"Round Black Diamond 1.71, Round Tsavorite 0.04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Limited Edition 14K Yellow Gold Diamond Panther Head Ring, 3.80 TCW",9096.5,12995.0,14K Gold,Yellow,"Round Diamond 3.53, Marquise Emerald 0.27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Black and White Diamond Crossover Ring, 0.77 TCW",1956.5,2795.0,14K Gold,White,"Multi Shape Diamond 0.77,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver and 18K Yellow Gold Diamond Ring, 0.39 TCW",906.5,1295.0,Sterling Silver & 18K Gold,N/A,"Round Diamond 0.39,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Classique 14K White Gold Diamond Ring, 0.50 TCW",2306.5,3295.0,14K Gold,White,"Multi Shape Diamond 0.5,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Pear Shaped Ring, 0.41 TCW",2625.0,3750.0,14K Gold,White,"Multi Shape Diamond 0.41,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Limited Edition 18K Two Tone Gold Tanzanite and Diamond Ring, 4.52 TCW",12250.0,17500.0,18K Gold,White,"Rectangle Tanzanite 3.79, Multi Shape Diamond 0.73,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Duo 14K 2 Tone Gold Diamond Crossover Ring, 1.09 TCW",4196.5,5995.0,14K Gold,Yellow and White,"Round Diamond 1.09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Ring, 2.43 TCW",2065.0,2950.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.38, Round Diamond 0.05",,"5/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Classique 14K White Gold Diamond Ring, 1.21 TCW",4756.5,6795.0,14K Gold,White,"Multi Shape Diamond 1.21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K White Gold Blue Sapphire Band Ring, 0.99 TCW",696.5,995.0,14K Gold,White,"Round Blue Sapphire 0.99,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Trio 14K Tri Color Gold Diamond Stack Ring, 0.50 TCW",2306.5,3295.0,14K Gold,Three Tone,"Round Diamond 0.5,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Moving Petals Ring, 1.64 TCW",5106.5,7295.0,14K Gold,Yellow,"Round Diamond 1.64,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Leaf Ring, 0.53 TCW",1816.5,2595.0,14K Gold,White,"Round Diamond 0.53,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Twist Ring, 1.12 TCW",3325.0,4750.0,14K Gold,White,"Round Diamond 1.12,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold Diamond Ring, 0.39 TCW",2516.5,3595.0,14K Gold,White,"Round Diamond 0.39,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bridal 14K White Gold Diamond Ring, 0.53 TCW",3076.5,4395.0,14K Gold,White,"Round Diamond 0.53,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bouquet 14K White Gold Diamond Ring, 1.16 TCW",5106.5,7295.0,14K Gold,White,"Round Diamond 1.16,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Espresso 14K Rose Gold Diamond Ring, 0.96 TCW",2656.5,3795.0,14K Gold,Rose,"Round Diamond 0.96,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Ring, 2.18 TCW",,,14K Gold,White,Round Diamond 2.18,,"9/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Trio 14K Tri Color Gold Diamond Ring, 0.98 TCW",3605.0,5150.0,14K Gold,Three Tone,"Round Diamond 0.98,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver Diamond Ring, 0.20 TCW",295.0,395.0,Sterling Silver,N/A,Round Diamond 0.2,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Ring, 1.90 TCW",5246.5,7495.0,14K Gold,White,"Round Diamond 1.9,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Diamond Pave Ring, 1.91 TCW",2747.5,5495.0,14K Gold,White,Round Diamond 1.91,,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Diamond Dome Ring, 2.54 TCW",8396.5,11995.0,14K Gold,White,"Round Diamond 2.54,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Filigree Ring, 0.53 TCW",2026.5,2895.0,14K Gold,Yellow,"Round Diamond 0.53,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K White Gold Multi Gemstone and Diamond Ring, 2.45 TCW",1886.5,2695.0,14K Gold,White,"Multi Shape Multi Color 2.29, Round Diamond 0.16",,,,,,"Amethyst, Sapphire and Tsavorite",,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K White Gold Multi Gemstone and Diamond Ring, 3.52 TCW",2586.5,3695.0,14K Gold,White,"Multi Shape Multi Color 3.38, Round Diamond 0.14",,,,,,"Amethyst, Sapphire and Tsavorite",,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Espresso 14K Rose and White Gold Diamond Crossover Ring, 0.81 TCW",2225.0,4450.0,14K Gold,Rose and White,"Round Diamond 0.81,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Duo 14K Yellow and White Gold Diamond Ring, 1.31 TCW",3600.0,7200.0,14K Gold,Yellow and White,"Round Diamond 1.31,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Nature 14K Gold Sapphire, Tsavorite & Diamond Butterfly Ring, 3.46 TCW",1847.5,3695.0,14K Gold,White,"Multi Shape Multi Color 3.4, Round Diamond 0.06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Knot Ring, 0.05 TCW",836.5,1195.0,14K Gold,Yellow,"Round Diamond 0.05,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bouquet 14K White Gold Diamond Ring and Matching Band Set, 1.48 TCW",3195.0,5500.0,14K Gold,White,"Round Diamond 1.48,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bouquet 14K White Gold Diamond Pave Ring, 0.98 TCW",2096.5,2995.0,14K Gold,White,"Round Diamond 0.98,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Ring, 1.42 TCW",6250.0,,14K Gold,White,"Round Diamond 0.77, Baguette Diamond 0.65,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bouquet 14K Yellow Gold Diamond Cluster Ring, 0.51 TCW",1536.5,2195.0,14K Gold,Yellow,"Round Diamond 0.51,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Vine Ring, 0.26 TCW",1886.5,2695.0,14K Gold,Yellow,"Round Diamond 0.26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Signature Sterling Silver Double Finger Onyx Panther Ring, 0.12 TCW",346.5,495.0,Sterling Silver,N/A,"Marquise Onyx 0.12,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Duo 14K Rose and White Gold Diamond Pave Ring, 1.69 TCW",4125.0,8250.0,14K Gold,Rose and White,"Round Diamond 1.69,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Ring, 3.14 TCW",10916.5,15595.0,14K Gold,White,"Round Diamond 3.14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Crossover Ring, 0.18 TCW",1606.5,2295.0,14K Gold,Yellow,"Round Diamond 0.18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold 3-Stone Diamond Ring, 0.18 TCW",836.5,1195.0,14K Gold,White,"Round Diamond 0.18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K Rose Gold Ruby & Diamond Crossover Ring, 0.81 TCW",1886.5,2695.0,14K Gold,Rose,"Round Ruby 0.5, Round Diamond 0.21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Ring, 0.95 TCW",1085.0,1550.0,14K Gold,White,"Square Blue Sapphire 0.86, Round Diamond 0.09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"14K White Gold Channel Set Diamond Eternity Band, 4.00 TCW",13996.5,19995.0,14K Gold,White,"Round Diamond 4,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"14K White Gold Channel Set Diamond Eternity Band, 3.00 TCW",9096.5,12995.0,14K Gold,White,"Round Diamond 3,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
