Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,Bracelet Length,Adjustable Length,"7"" Length. Pearl Sizes","7"" Length. Pearl Size",Size,Bolo Chain Max Length,Adjustable String,Bracelet Width,Width,"75"" Thickness",Top Width,Adjustable Chain,Thickness,Top Diameter,Adjustable Bolo Chain. Anchor Length,"5""  Width",Hinged Closure. Width,Size 7. Hinged Closure. Top Width,Hinged Closure. Top Width,Adjustable length,Information,Jewelry_Type,Sex
"Effy D'Oro 14K Yellow Gold Bezel Set Diamond Tennis Bracelet, 3.65 TCW",12596.5,17995.0,14K Gold,Yellow,Round Diamond 3.65,"6.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Tennis Bracelet, 3.53 TCW",9796.5,13995.0,14K Gold,White,Round Diamond 3.53,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Seaside Silver and 18K Gold Blue Topaz Starfish Bangle, 26.80 TCW",1645.0,2350.0,Stainless Steel & 18K Gold,Yellow,Multi Shape Blue Topaz 26.8,,,,,,"7""",,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K Rose Gold Black Diamond & Emerald Bracelet, 0.44 TCW",1297.5,2595.0,14K Gold,Rose,"Round Black Diamond 0.42, Round Emerald 0.02",,,"6"" - 7.25""",,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K White Gold Diamond Crown String Bracelet, 0.12 TCW",766.5,1095.0,14K Gold,White,"Round Diamond 0.12,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K White Gold Diamond Star String Bracelet, 0.18 TCW",976.5,1395.0,14K Gold,White,"Round Diamond 0.18,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Ruby Royale 14K Gold Ruby and Diamond Tennis Bracelet, 15.58 TCW",7097.5,14195.0,14K Gold,Yellow,"Marquise Ruby 14.82, Round Diamond 0.76","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Ruby Royale Sterling Silver Ruby Tennis Bracelet, 6.99 TCW",626.5,895.0,14K Gold,N/A,Oval Ruby 6.99,6,,,,,,,,,,"1/4""",,,,,,,,,,,,Bracelets,Women
"Effy Royale Bleu 14K Gold Sapphire and Diamond Tennis Bracelet, 4.24 TCW",4196.5,5995.0,14K Gold,White,"Round Blue Sapphire 4.12, Round Diamond 0.12","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Royale Bleu 14K Gold Blue Sapphire and Diamond Bracelet, 9.68 TCW",10150.0,14500.0,14K Gold,White,"Square Blue Sapphire 8.55, Square Diamond 1.13",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Splash Sterling Silver Pink Sapphire and Ruby Bangle, 4.24 TCW",976.5,1395.0,Sterling Silver,N/A,"Round Pink Sapphire 4.24,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Splash Sterling Silver Multi Sapphire Bangle, 10.50 TCW",1606.5,2295.0,Sterling Silver,N/A,Round Multi Sapphire 10.5,,,,,,,,,,,,"1/4""",,,,,,,,,,,Bracelets,Women
"Effy Splash Sterling Silver Pink Sapphire and Ruby Bangle, 10.19 TCW",1785.0,2550.0,Sterling Silver,N/A,Round Pink Sapphire 10.19,,,,,,,,,,,,"1/4""",,,,,,,,,,,Bracelets,Women
"Effy Splash Sterling Silver Multi Sapphire Bangle, 9.09 TCW",1396.5,1995.0,Sterling Silver,N/A,Round Multi Sapphire 9.09,,,,,,,,,,,,"3/8""",,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K Gold Turquoise & Diamond Evil Eye Bracelet, 0.64 TCW",1155.0,1650.0,14K Gold,Yellow,"Round Turquoise 0.45, Round Diamond 0.19,Adjustable 8"" Bolo Chain",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Bangle, 4.47 TCW",11060.0,15800.0,14K Gold,White,"Round Blue Diamond 2.67, Round Diamond 1.8",,,,,,,,,,"5/16""",,,,,,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Turquoise Station Bracelet, 2.35 TCW",735.0,1050.0,14K Gold,Yellow,Round Turquoise 2.35,"7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Gold Cultured Fresh Water Pearl and Diamond Bracelet, 0.04 TCW",447.5,895.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.04",,,,,,,,,,,,,"6.5""- 7.25""",,,,,,,,,,Bracelets,Women
"Effy Bouquet 14K White Gold Diamond Tennis Bracelet, 5.03 TCW",11896.5,16995.0,14K Gold,White,Round Diamond 5.03,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Canare 14K Gold Yellow and White Diamond Bangle, 3.40 TCW",12596.5,17995.0,14K Gold,Yellow and White,"Round Yellow Diamond 2.74, Round Diamond 0.66",,,,,,,,,,,,,,"1/4""",,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Jade Bracelet, 202.00 TW",346.5,495.0,14K Gold,Yellow,Round Jade 202,"8""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy Signature 14K Rose Gold Diamond Panther Bangle. 1.96 TCW,6825.0,9750.0,14K Gold,Rose,"Round Diamond 1.63, Round Black Diamond 0.35, Round Tsavorite 0.02,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Tennis Bracelet, 9.73 TW",3636.5,5195.0,14K Gold,Yellow,"Oval Multi Sapphire 9.62, Round Diamond 0.11","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Seaside 14K White Gold Diamond Whale's Tail Bangle, 0.46 TCW",2597.5,5195.0,14K Gold,White,"Round Diamond 0.46,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Rose Gold Multi Tourmaline and Diamond Tennis Bracelet, 11.52 TCW",3675.0,5250.0,14K Gold,Rose,"Oval Tourmaline 11.35, Round Diamond 0.17","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Diamond Bangle, 0.50 TCW",495.0,995.0,Sterling Silver,N/A,"Round Diamond 0.5,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature Sterling Silver Diamond and Tsavorite Panther Bangle, 0.10 TCW",665.0,950.0,Sterling Silver,N/A,Round Diamond 0.1,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Gold Blue Sapphire Woven Bracelet, 1.40 TCW",1046.5,1495.0,Sterling Silver & 18K Gold,N/A,Round Blue Sapphire 1.4,,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy Seaside Sterling Silver & 18K Gold Anchor Bangle,385.0,550.0,Sterling Silver & 18K Gold,N/A,,,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Gold Black Diamond Bangle, 0.09 TCW",626.5,895.0,Sterling Silver & 18K Gold,N/A,Round Black Diamond 0.09,,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Seaside Sterling Silver and Diamond Whale's Tail Bracelet, 0.09 TCW",332.5,665.0,Sterling Silver,N/A,Round Diamond 0.09,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature Sterling Silver Diamond and Tsavorite Panther Bangle, 0.10TCW",577.5,825.0,Sterling Silver,N/A,"Round Diamond 0.06, Round Tsavorite 0.04,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy 14K Yellow Gold Cultured Fresh Water Pearl Bracelet,437.5,875.0,14K Gold,Yellow,"Round Pearl,10mm Pearl. Adjustable Bolo Chain.",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy 925 Sterling Silver & 18K Yellow Gold Cultured Fresh Water Pearl Bangle,385.0,550.0,Sterling Silver & 18K Gold,N/A,Round Pearl,,,,,,,,,,,,,,,"3/8""",,,,,,,,Bracelets,Women
"Effy Novelty 14K Yellow Gold Onyx and Diamond Hamsa Bracelet, 2.74 TCW",556.5,795.0,14K Gold,Yellow,"Round Onyx 2.66, Round Diamond 0.08",,,,,,,,"Up to 7.5""",,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Rose 14K Rose Gold Diamond Bangle, 2.10 TCW",6646.5,9495.0,14K Gold,Rose,"Round Diamond 2.1,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Safari 14K Yellow Gold Diamond Dragon Bangle, 1.83 TCW",8050.0,11500.0,14K Gold,Yellow,"Round Diamond 1.83,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Bezel Set Diamond Tennis Bracelet, 1.69 TCW",5876.5,8395.0,14K Gold,White,Round Diamond 1.69,"6.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Ruby Heart Bracelet, 0.62 TCW",416.5,595.0,Sterling Silver,N/A,"Round Ruby 0.62,Adjustable Bolo Chain",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Seaside Sterling Silver Diamond Anchor Bracelet, 0.16 TCW",836.5,1195.0,Sterling Silver,N/A,Round Diamond 0.16,,,,,,,,,,,,,,,,"1""",,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Tennis Bracelet, 4.90 TCW",14560.0,20800.0,14K Gold,White,Round Diamond 4.9,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Tennis Bracelet, 0.51 TCW",2936.5,4195.0,14K Gold,White,Round Diamond 0.51,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Tennis Bracelet, 1.03 TCW",5106.5,7295.0,14K Gold,White,Round Diamond 1.03,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Tanzanite Royale Sterling Silver Tanzanite Tennis Bracelet, 15.60 TCW",3146.5,4495.0,Sterling Silver,N/A,Round Tanzanite 15.6,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Tanzanite Royale Sterling Silver Tanzanite Bracelet, 26.69 TCW",2300.0,4600.0,Sterling Silver,N/A,Oval Tanzanite 26.69,7,,,,,,,,,,,,,,,,"1/2""",,,,,,Bracelets,Women
"Effy Tanzanite Royale Sterling Silver Tanzanite Tennis Bracelet, 19.80 TCW",1495.0,,Sterling Silver,N/A,Oval Tanzanite 19.8,,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K White Gold Diamond Tennis Bracelet, 12.00 TCW",41996.5,59995.0,14K Gold,White,Round Diamond 12,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K White Gold Diamond Tennis Bracelet, 9.00 TCW",30796.5,43995.0,14K Gold,White,Round Diamond 9,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Onyx and Diamond Bangle, 8.02 TCW",4875.0,9750.0,14K Gold,Yellow,"Oval Onyx 7.9, Round Diamond 0.12",,,,,,,,,,,,"1""",,,,,,,,,,,Bracelets,Women
"Effy Seaside 14K Tri Color Gold Diamond Starfish Bracelet, 0.28 TCW",1536.5,2195.0,14K Gold,Three Tone,"Round Diamond 0.28,Adjustable length up to 8.5""",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Seaside 14K Gold Blue Sapphire & Diamond Starfish Bracelet, 1.06 TCW",3496.5,4995.0,14K Gold,White,"Round Blue Sapphire 0.72, Round Diamond 0.34,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Kidz 14K White Gold Diamond Butterfly Bracelet, 0.10 TCW",486.5,695.0,14K Gold,White,Round Diamond 0.1,,,,,,,,,,,,,"5""-6.5""",,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Yellow Gold Multi-Sapphire Tennis Bracelet, 8.05 TCW",4896.5,6995.0,14K Gold,Yellow,"Round Multi Sapphire 8.05,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Yellow Gold Multi-Sapphire Diamond Bracelet, 14.51 TCW",5845.0,8350.0,14K Gold,Yellow,"Emerald Cut Multi Sapphire 14.25, Round Diamond 0.26,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Yellow Gold Multi-Sapphire and Dia Bracelet, 7.66 TCW",8260.0,11800.0,14K Gold,Yellow,"Square Multi Sapphire 6.18, Round Diamond 1.48,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Tennis Bracelet, 4.78 TCW",8260.0,11800.0,14K Gold,White,"Round Emerald 2.62, Round Diamond 2.16,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Ruby Royale 14K White Gold Ruby and Diamond Tennis Bracelet, 5.22 TCW",7560.0,10800.0,14K Gold,White,"Round Ruby 3.06, Round Diamond 2.16,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Royale Bleu 14K Gold Sapphire and Diamond Tennis Bracelet, 5.22 TCW",6996.5,9995.0,14K Gold,White,"Round Blue Sapphire 3.06, Round Diamond 2.19,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite Diamond Bangle, 4.76 TCW",3706.5,5295.0,14K Gold,White,"Trillion Tanzanite 4.56, Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy D'Oro 14K Yellow Gold Diamond Bangle, 0.77 TCW",5600.0,8000.0,14K Gold,Yellow,"Round Diamond 0.77,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Bangle, 1.47 TCW",4375.0,6250.0,14K Gold,White,"Round Diamond 1.47,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Duo 14K 2 Tone Gold Diamond Link Tennis Bracelet, 1.52 TCW",5596.5,7995.0,14K Gold,Yellow and White,Round Diamond 1.52,,"7""",,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Tennis Bracelet, 3.76 TCW",7847.5,15695.0,14K Gold,White,"Round Diamond 3.76,7.5"" Length",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Bracelet, 24.54 TCW",14696.5,20995.0,14K Gold,Yellow,"Oval Multi Sapphire 22.78, Round Diamond 1.76","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Classique 14K White Gold Diamond Bangle, 3.21 TCW",15785.0,22550.0,14K Gold,White,Baguette Diamond 3.21,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K Gold Sapphire & Diamond Evil Eye String Bracelet, 0.56 TW",1155.0,1650.0,14K Gold,White,"Round Blue Sapphire 0.33, Round Diamond 0.23,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone and Diamond Bangle, 24.97 TCW",6716.5,9595.0,14K Gold,Yellow,"Multi Shape Multi Color 24.88, Round Diamond 0.09",,,,,,"7.5""",,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K Yellow Gold and Diamond Bangle, 0.19 TCW",4196.5,5995.0,14K Gold,Yellow,"Round Diamond 0.19,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Bracelet, 7.66 TCW",9450.0,13500.0,14K Gold,White,"Square Blue Sapphire 6.18, Round Diamond 1.48","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
