Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,Hoop Size,"Height 3/8"" x Length",Diameter,Earring,Drop Length,Earring Size,Stud Size,Top Diameter,Diamater,Gemstones, Length,Earring size,Information,"75"" Pearl Size","5"" Pearl Size", Widest Part, Stone included,"25"" Diameter",Earring Diameter,Earring Length,Pearl Size, Lapis Size, Drop Length, Onyx Size,Flower Diameter,Height,Screw Backs. Earring Diameter,Jewelry_Type,Sex,Snake Dimension,Top Width,Flower Dimension,Top width,Width,Top Length,Size,GAL Certified. Top Width,Panther Head Size,Setting Width,Center Stone,Top Widht,Band Width,Band Thickness,Starfish Size,Snake Length, Height,Dragon Length,Bow Length, Gemstones,Heart Size,Length Across Butterflies,Top Length Appx,Height , Contains,Bracelet Length,Adjustable Length,"7"" Length. Pearl Sizes","7"" Length. Pearl Size",Bolo Chain Max Length,Adjustable String,Bracelet Width,"75"" Thickness",Adjustable Chain,Thickness,Adjustable Bolo Chain. Anchor Length,"5""  Width",Hinged Closure. Width,Size 7. Hinged Closure. Top Width,Hinged Closure. Top Width,Adjustable length,"18"" Chain Included. Pendant Length","16""-18"" Adjustable Chain Included. Pendant Length","16""-18"" Adjustable Chain. Pendant Length","16"" Chain Included. Palm Tree Length","18"" Chain Included. Pendant Diameter","17"" Adjustable Chain Attached. Pendant Diameter","16"" Chain Included Pendant Size","16""-18"" Adjustable Chain. Drop Length","18"" Attached Chain. Pendant Length",Necklace Length, Pendant Length,"16"" Chain Included. Pendant Length","18"" Chain Attached. Pendant Length","16"" Chain Attached. Drop Length","Attached 17.5"" Chain. Pendant Length","16"" Double Chain Included. Pendant Length","17"" Attached Chain. Adjustable down to 15"" in 1/2"" increments. Cross length","18"" Chain Included with 6 Diamond sections. Pendant Diameter",Chain Included. Pendant Length,Chain Included. Pendant Diameter,Chain Included. Pendant diameter,"18"" Chain Included. Pendant Size","16"" - 18"" Adjustable Chain. Pendant Length","16"" - 18"" Adjustable Chain. Pendant Size","16"" - 18"" Adjustable Chain Included. Pendant Length","GAL Certified. 16"" Chain Included. Pendant Length","16""-18"" Adjustable Chain. Panther","16"" Length Pendant Length","18"" Chain Included (Adjustable to 16""). Pendant Diameter","18""Chain Included. Pendant Length","20"" Chain Included Pendant Size","18"" Chain Included. Bee Size","18"" Chain Included Pendant Size","18"" Chain Included. Pendantl Length","18"" Chain Included. Pearl Size","18"" Necklace. Pearl Size","Adjustable 16""-18"" Chain. Pendant Length","16"" Chain Length. Pendant Diameter","18"" Necklace. Center Size","16"" Chain Inclueded. Pendant Length",""" Panther Head","15""-18"" Adjustable Chain. Pendant Length", Buterfly height,"17.25"" Attached Chain. Diameter","16""-18"" Adjustable Chain. Snake Length", Bar Length,"18"" Necklace. Pearl Sizes","16""-18"" Adjustable Chain Included. Pendant Diameter","14"" - 18"" Adjustable Chain. Pendant Length","19"" Chain Included. Pendant Length", Pendant Drop,"17"" Attached Chain. Snake Length","18"" Necklace. Bar Length","18"" Chain Included. Flower Diameter","20"" Chain Included. Pendant Length","16"" - 18"" Adjustable Chain.Butterfly Size","16""-18"" Adjustable Chain. Pendant Diameter","18"" Chain Included. Pendant Lenght","Adjustable 18"" Pull Chain. Evil Eye Length","18"" Chain Included. Heart Length","18"" Chain Included. Size of Heart","16"" - 18"" Adjustable Chain. Butterfly Size", Necklace Length,"16""-18"" Adjustable Chain Included. Pendant Legnth","17"" Chain Included. Pendant Length","17"" Attached Chain. Pendant Length","4 Strand 18"" Necklace. Pearl Sizes",Pendant Length,"25"" Gemstone"
"Effy Novelty 14K White Gold Sapphire & Diamond Evil Eye Earrings, 0.57 TCW",1645.0,2350.0,14K Gold,White,"Round Blue Sapphire 0.25, Round Diamond 0.32",,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Rose Gold Diamond and Emerald Earrings, 1.57 TCW",4445.0,6350.0,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Emerald 0.1","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bella Bleu 14K Gold Blue and White  Diamond Stud Earrings, 0.71 TCW",2096.5,2995.0,14K Gold,White,"Round Blue Diamond 0.6, Round Diamond 0.11",,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond 2"" Hoop Earrings, 2.65 TCW",,,14K Gold,White,"Round Diamond 2.65,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K White Gold Blue Diamond Mini Panther Earrings, 0.55 TCW",2096.5,2995.0,14K Gold,White,Round Blue Diamond 0.55,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Pink Sapphire Circle Earrings, 3.60 TCW",665.0,950.0,Sterling Silver,N/A,Round Pink Sapphire 3.6,,,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Multi Color Sapphire Square Earrings, 3.75 TCW",836.5,1195.0,Sterling Silver,N/A,Round Multi Color 3.75,,,,,"1/2"" x 1/2""",,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Stud Earrings, 0.49 TCW",1956.5,2795.0,14K Gold,White,Round Diamond 0.49,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Earrings, 6.04 TCW",1606.5,2295.0,14K Gold,Yellow,"Emerald Cut Garnet 5.85, Round Diamond 0.19","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Yellow Gold Multi Sapphire 1"" Hoop Earrings, 6.18 TCW",3006.5,4295.0,14K Gold,Yellow,Oval Multi Sapphire 6.18,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Drop Earrings, 2.74 TCW",7696.5,10995.0,14K Gold,White,"Round Diamond 2.74,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Earrings, 2.23 TCW",2647.5,5295.0,14K Gold,White,"Pear Blue Sapphire 1.42, Round Diamond 0.81","1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Nature 14K Rose Gold Ruby and Diamond Butterfly Earrings, 2.44 TCW",2306.5,3295.0,14K Gold,Rose,"Pear Ruby 2.2, Round Diamond 0.24","1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Earrings, 1.54 TCW",1676.5,2395.0,14K Gold,White,"Pear Tanzanite 1.14, Round Diamond 0.4","1/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Two Tone Gold Tanzanite and Diamond Earrings, 2.19 TCW",1950.0,3900.0,14K Gold,Rose and White,"Emerald Cut Tanzanite 1.71, Round Diamond 0.48","1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale Sterling Silver Tanzanite Stud Earrings, 1.52 TCW",367.5,525.0,Sterling Silver,N/A,Trillion Tanzanite 1.52,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K Two Tone Gold Sapphire and Diamond Earrings, 0.93 TCW",1746.5,2495.0,14K Gold,Yellow and White,"Pear Blue Sapphire 0.57, Round Diamond 0.36","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Black and White Diamond Hoop Earrings, 0.45 TCW",1396.5,1995.0,14K Gold,White,"Baguette Black Diamond 0.28, Round Diamond 0.17","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Classique 14K White Gold Diamond Drop Earrings, 0.72 TCW",3045.0,4350.0,14K Gold,White,Multi Shape Diamond 0.72,,,,,,"2""",,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Earrings, 0.61 TCW",2656.5,3795.0,14K Gold,Rose,"Round Ruby 0.48, Round Diamond 0.13","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Silver Blue Sapphire 1"" Hoop Earrings, 3.97 TCW",696.5,995.0,Sterling Silver,N/A,"Round Blue Sapphire 3.97,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Two Tone Gold Diamond Earrings, 0.41 TCW",1647.5,3295.0,14K Gold,Rose and White,Round Diamond 0.41,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Canare 14K Gold Yellow & White Diamond Huggie Hoop Earrings, 1.26 TCW",4616.5,6595.0,14K Gold,Yellow and White,"Round Yellow Diamond 1.01, Round Diamond 0.25","5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Espresso and White Diamond Stud Earrings, 0.71 TCW",2236.5,3195.0,14K Gold,Rose,Round Diamond 0.92,,,,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Yellow Gold Diamond Panther Stud Earrings, 0.37 TCW",1396.5,1995.0,14K Gold,Yellow,"Round Diamond 0.33, Round Tsavorite 0.04","1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Stud Earrings, 1.27 TCW",1155.0,1650.0,14K Gold,Yellow,"Round Ruby 1.14, Round Diamond 0.13",,,,,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effy 925 Sterling Silver & 18K Yellow Gold Cultured Fresh Water Pearl Stud Earrings,332.5,475.0,Sterling Silver & 18K Gold,N/A,Round Pearl,,,,,,,,,"3/8""",,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Rose Gold Tanzanite and Diamond Earrings, 2.22 TCW",2796.5,3995.0,14K Gold,Rose,"Emerald Cut Tanzanite 1.71, Round Diamond 0.51","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Stud Earrings, 1.27 TCW",1155.0,1650.0,14K Gold,White,"Round Blue Sapphire 1.14, Round Diamond 0.13",,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Two Tone Gold Ruby and Diamond Pear Shaped Drop Earrings, 0.87 TCW",1746.5,2495.0,14K Gold,Rose and White,"Pear Ruby 0.51, Round Diamond 0.36","1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Flower Earrings, 3.18 TCW",2345.0,3350.0,14K Gold,Yellow,"Pear Ruby 2.85, Round Diamond 0.33,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K Yellow Gold Diamond Cluster Earrings, 0.93 TCW",2306.5,3295.0,14K Gold,Yellow,Round Diamond 0.93,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K Rose Gold Diamond Cluster Earrings, 0.50 TCW",795.0,1600.0,14K Gold,Rose,Round Diamond 0.5,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K Yellow Gold Diamond Cluster Earrings, 0.50 TCW",2306.5,3295.0,14K Gold,Yellow,Round Diamond 0.5,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
