Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,"18"" Chain Included. Pendant Length","16""-18"" Adjustable Chain Included. Pendant Length","16""-18"" Adjustable Chain. Pendant Length","16"" Chain Included. Palm Tree Length","18"" Chain Included. Pendant Diameter",Adjustable Length,"17"" Adjustable Chain Attached. Pendant Diameter","16"" Chain Included Pendant Size","16""-18"" Adjustable Chain. Drop Length","18"" Attached Chain. Pendant Length",Necklace Length,Information, Pendant Length,Gemstones,"16"" Chain Included. Pendant Length","18"" Chain Attached. Pendant Length","16"" Chain Attached. Drop Length","Attached 17.5"" Chain. Pendant Length","16"" Double Chain Included. Pendant Length","17"" Attached Chain. Adjustable down to 15"" in 1/2"" increments. Cross length","18"" Chain Included with 6 Diamond sections. Pendant Diameter",Chain Included. Pendant Length,Chain Included. Pendant Diameter,Chain Included. Pendant diameter,"18"" Chain Included. Pendant Size","16"" - 18"" Adjustable Chain. Pendant Length","16"" - 18"" Adjustable Chain. Pendant Size","16"" - 18"" Adjustable Chain Included. Pendant Length","GAL Certified. 16"" Chain Included. Pendant Length","16""-18"" Adjustable Chain. Panther","16"" Length Pendant Length","18"" Chain Included (Adjustable to 16""). Pendant Diameter","18""Chain Included. Pendant Length","20"" Chain Included Pendant Size","18"" Chain Included. Bee Size","18"" Chain Included Pendant Size","18"" Chain Included. Pendantl Length","18"" Chain Included. Pearl Size","18"" Necklace. Pearl Size","Adjustable 16""-18"" Chain. Pendant Length","16"" Chain Length. Pendant Diameter","18"" Necklace. Center Size","16"" Chain Inclueded. Pendant Length",Adjustable Chain,""" Panther Head","15""-18"" Adjustable Chain. Pendant Length", Buterfly height,"17.25"" Attached Chain. Diameter","16""-18"" Adjustable Chain. Snake Length", Bar Length,"18"" Necklace. Pearl Sizes","16""-18"" Adjustable Chain Included. Pendant Diameter","14"" - 18"" Adjustable Chain. Pendant Length","19"" Chain Included. Pendant Length", Pendant Drop,"17"" Attached Chain. Snake Length", Length,"18"" Necklace. Bar Length",Bracelet Length,"18"" Chain Included. Flower Diameter","20"" Chain Included. Pendant Length","16"" - 18"" Adjustable Chain.Butterfly Size","16""-18"" Adjustable Chain. Pendant Diameter","18"" Chain Included. Pendant Lenght","Adjustable 18"" Pull Chain. Evil Eye Length","18"" Chain Included. Heart Length","18"" Chain Included. Size of Heart","16"" - 18"" Adjustable Chain. Butterfly Size",Pearl Size, Necklace Length,"16""-18"" Adjustable Chain Included. Pendant Legnth","17"" Chain Included. Pendant Length","17"" Attached Chain. Pendant Length","4 Strand 18"" Necklace. Pearl Sizes",Pendant Length,"25"" Gemstone",Jewelry_Type,Sex
"Effy Seaside 14K Yellow Gold Diamond Seahorse Pendant, 0.15 TCW",795.0,1095.0,14K Gold,Yellow,Round Diamond 0.15,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Pendant, 1.18 TCW",3185.0,4550.0,14K Gold,White,Round Diamond 1.18,,,,,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Necklace, 0.85 TCW",895.0,1595.0,14K Gold,White,"Round Tanzanite 0.74, Round Diamond 0.11","18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Classique 14K White Gold Diamond Swirl Pendant, 0.48 TCW",1746.5,2495.0,14K Gold,White,Multi Shape Diamond 0.48,,,,,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Classica 14K White Gold Diamond Halo Necklace, 0.54 TCW",2147.5,4295.0,14K Gold,White,Round Diamond 0.54,,,,,,,,,8mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Classique 14 Karat White Gold Diamond Pendant, 0.77 TCW",2096.5,2995.0,14K Gold,White,Multi Shape Diamond 0.77,,,,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Yellow Gold Diamond and Fresh Water Pearl Necklace, 0.34 TCW",1256.5,1795.0,14K Gold,Yellow,"Round Diamond 0.34,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Rose Gold 18"" Diamonds Station Necklace, 0.21 TCW",1046.5,1495.0,14K Gold,Rose,Round Diamond 0.21,"18"" with 7 Double Sided Diamond Stations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver Blue Sapphire Splash Starfish Pendant, 2.90 TCW",556.5,795.0,Sterling Silver,N/A,Round Blue Sapphire 2.9,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Classica 14K White Gold Dimond Fringe Necklace, 0.94 TCW",5316.5,7595.0,14K Gold,White,Multi Shape Diamond 0.94,,,,,,,,,,"2.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite & Diamond Pendant, 1.46 TCW",2096.5,2995.0,14K Gold,White,"Trillion Tanzanite 1.42, Round Diamond 0.04",,"1.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver Pink Sapphire Splash Starfish Pendant, 2.82 TCW",612.5,875.0,Sterling Silver,N/A,Round Pink Sapphire 2.82,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K White Gold Sapphire & Diamond Starfish Pendant, 0.41 TCW",595.0,850.0,14K Gold,White,"Round Blue Sapphire 0.35, Round Diamond 0.06",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Gemma 14K White Gold Tanzanite and Diamond Pendant, 1.56 TCW",2096.5,2995.0,14K Gold,White,"Emerald Cut Tanzanite 1.33, Round Diamond 0.23",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Gemma 14K White Gold Blue Sapphire and Diamond Pendant, 0.74 TCW",1925.0,2750.0,14K Gold,White,"Round Blue Sapphire 0.58, Round Diamond 0.16",,,,,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
Effy Seaside 14K White Gold Blue Sapphire and Diamond Starfish Pendant,2236.5,3195.0,14K Gold,White,"Multi Shape Blue Sapphire 3.38, Round Diamond 0.29",,,,,,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K Yellow Gold Diamond Anchor Pendant, 0.09 TCW",495.0,795.0,14K Gold,Yellow,Round Diamond 0.09,,"0.44""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Signature 14K Rose Gold Diamond and Tsavorite Garnet Mini Pendant, 0.18 TCW",976.5,1395.0,14K Gold,Rose,"Round Diamond 0.16, Round Tsavorite 0.02",,,,,,,,,,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K Gold Cognac & White Diamond Stingray Pendant, 0.46 TCW",1536.5,2195.0,14K Gold,Rose,Round Diamond 0.46,,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K Gold Espresso & White Diamond Starfish Pendant, 0.36 TCW",895.0,995.0,14K Gold,Rose,Round Diamond 0.36,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
Effy Seaside 14K White Gold Blue Sapphire & Diamond Starfish Pendant,850.0,1595.0,14K Gold,White,"Round Blue Sapphire 0.6, Round Diamond 0.1",,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K Gold Sapphire & Diamond Whale's Tail Pendant, 0.82 TCW",850.0,1495.0,14K Gold,Yellow,"Round Multi Sapphire 0.77, Round Diamond 0.05",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K Gold Espresso & White Diamond Turtle Pendant, 0.42 TCW",1746.5,2495.0,14K Gold,Yellow,"Round Cognac Diamond 0.19, Round Diamond 0.23, Round Tsavorite 0.02",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K White Gold Diamond Bezel Set Pendant, 0.20 TCW",1095.0,1800.0,14K Gold,White,"Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Classica 14K White Gold Diamond Pear Shaped Necklace, 0.38 TCW",2096.5,2995.0,14K Gold,White,Multi Shape Diamond 0.38,,,,,,,,,10mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Yellow Gold Onyx Station Necklace, 5.03 TCW",976.5,1395.0,14K Gold,Yellow,"Round Onyx 5,16"" - 18"" Adjustable Length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Yellow Gold Diamond Crescent Moon Pendant, 0.13 TCW",766.5,1095.0,14K Gold,Yellow,Round Diamond 0.13,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Classica 14K White Gold Diamond Star Pendant, 0.26 TCW",1396.5,1995.0,14K Gold,White,Round Diamond 0.26,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy D'Oro 14K Yellow Gold Bezel Set Diamond Pendant, 0.20 TCW",1095.0,1800.0,14K Gold,Yellow,Round Diamond 0.2,,,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Signature 14K Rose Gold Black Diamond & Emerald Necklace, 0.61 TCW",1536.5,2195.0,14K Gold,Rose,"Round Black Diamond 0.59, Round Emerald 0.02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Starfish Pendant, 1.15 TCW",1816.5,2595.0,14K Gold,White,"Round Multi Sapphire 0.77, Round Diamond 0.38",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Splash Sterling Silver Blue Sapphire Whale's Tail Pendant, 2.05 TCW",416.5,595.0,Sterling Silver,N/A,Round Blue Sapphire 2.05,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Splash Sterling Silver Blue Sapphire Circle Pendant, 3.15 TCW",595.0,850.0,Sterling Silver,N/A,Round Blue Sapphire 3.15,,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Splash Sterling Silver Blue Sapphire Square Pendant, 3.31 TCW",665.0,950.0,Sterling Silver,N/A,Round Blue Sapphire 3.31,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
